day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-02-03,-0.47106715310234926,1.0,1.02621098245653,1.0,1.0
2022-07-06,0.24691288531342023,1.0,2.381258863993087,1.0,1.0
2022-07-09,-0.47106715310234926,1.0,-0.8096710503785466,1.0,1.0
2022-07-12,-0.5953522736688708,1.0,-0.48498716733829944,1.0,1.0
2022-07-14,-0.7071067811865476,1.0,,1.0,1.0
2022-07-15,0.2304915735795142,1.0,2.666666666666666,1.0,1.0
2022-07-18,-0.8590814360427415,1.0,2.0754980866510833,1.0,1.0
2022-07-23,-0.47092103766420657,1.0,-0.7443236541899907,1.0,1.0
2022-07-24,-1.0379195792026403,1.0,1.9256597786952403,1.0,1.0
2022-07-28,0.25678263993289663,1.0,-0.5223882556529426,1.0,1.0
2022-07-31,-0.2606549503317268,0.6399834701518315,-0.42384741220510025,0.19294133636866226,2.0
2022-08-05,-0.40158297076886335,1.0,2.1012322627133364,1.0,1.0
2022-08-10,-0.8086959348589078,0.3271721779857304,-0.5836629367170245,0.008927460031999476,2.0
2022-08-14,-0.6071040291865495,1.0,-0.5223882556529426,1.0,1.0
2022-08-25,0.38847424913757606,1.0,-0.8194514625431967,1.0,1.0
2022-08-27,-0.8344833709851148,1.0,-0.429949517109863,1.0,1.0
2022-08-31,-0.7423762995708838,0.38368907453167017,-0.5114358833670785,0.42176821796422315,2.0
2022-09-14,0.990543961637649,1.0,1.2251636250183362,1.0,1.0
2022-09-19,-1.022760928373121,1.0,1.1346030061584071,1.0,1.0
2022-09-20,-0.06373564736487543,1.0,-0.560277539522576,1.0,1.0
2022-09-21,-0.1664434391649888,0.0,0.11355178993825721,0.9949379823541491,2.0
2022-09-22,-0.5773502691896257,1.0,-0.5773502691896257,1.0,1.0
2022-09-23,1.3195564935818629,0.23314152768550425,0.2051884420946305,1.3428128842030194,2.0
2022-09-25,-0.0284586109364909,1.0,-0.7279513393372646,1.0,1.0
2022-09-27,-0.4915016071008469,0.7174762319937521,1.5837744478414963,2.6572115705819748,2.0
2022-09-28,-0.7350366127146594,0.14535615028567916,-0.5590270386210489,0.12824081884758176,3.0
2022-09-29,0.04725676895616968,0.9152238143485001,-0.4698554025244793,0.5716524928294101,5.0
2022-09-30,0.23264730167644804,0.41355874492790584,0.5621618254662014,1.618049805516285,5.0
2022-10-01,-0.32827340842795133,1.0,0.5813136594707651,1.0,1.0
2022-10-02,1.2097890063017938,1.0,-0.37947471435039637,1.0,1.0
2022-10-03,0.16030170575643576,0.43882841235682846,-0.5354777566674467,0.2206216182162364,2.0
2022-10-04,0.1740399514837965,0.1611519843636768,0.39467569213232173,1.651872415286435,3.0
2022-10-05,0.03201643195836869,1.0,1.3619988327786237,1.0,1.0
2022-10-06,-0.6436070353635449,0.8200619813398295,-0.560277539522576,0.0,2.0
2022-10-07,-0.006367207867705595,1.0985264599839115,-0.1248308122126162,0.8316133099567854,8.0
2022-10-08,0.26285081146118405,1.1112692843052585,0.2163503794357545,0.8091291341607709,3.0
2022-10-09,-0.33848951851952175,0.725350548101189,0.5429374802847425,1.5510084277480047,3.0
2022-10-10,-0.2996765678176891,1.0230517010576448,-0.12055854347169022,0.5574010497617488,7.0
2022-10-11,-0.22353653888618677,0.6812777354403217,-0.34502857192884334,0.4734872570071969,7.0
2022-10-12,0.41240563924700757,0.6859285876011915,0.4471426907027526,1.6694673344310247,5.0
2022-10-13,0.3890509531586932,0.8296450673766259,0.6034059457265336,1.2310534339662835,6.0
2022-10-14,0.1269991860121987,1.4269803502658933,0.2240099131288062,0.9238109733164208,7.0
2022-10-15,1.2426996103588626,1.3720750506131054,-0.5033867758634858,0.026020975918674177,2.0
2022-10-16,0.03741144937417199,0.7173734116254132,-0.40780173772409484,0.4967151576053614,6.0
2022-10-17,-0.2606798060303502,1.0868427722364558,-0.2159877994728003,1.037712813959356,7.0
2022-10-18,-0.14105085993728578,0.9497839746266402,0.16130077060348935,0.8299355703984961,10.0
2022-10-19,-0.16349135049770147,1.282543221388284,0.06959678516924775,0.9287688565428108,11.0
2022-10-20,0.13124880446018197,1.0178273113798277,-0.2680049793203066,0.6162833630892435,17.0
2022-10-21,-0.8024407681519228,1.0889984802020491,-0.5964536832642573,0.24539531120271724,9.0
2022-10-22,0.4303492208295667,0.563786319712034,-0.0275272310300547,0.5626427476785218,5.0
2022-10-23,-0.5114084744318333,1.9923029976282913,-0.558342693213046,0.11586198174325364,3.0
2022-10-24,-0.4229506021338494,0.8257775572148282,0.42369974254884446,1.4380824385256952,9.0
2022-10-25,0.07356873995964927,0.5292485828628171,-0.09304730218529819,0.7425855287157428,15.0
2022-10-26,-0.1969020333411957,1.0490287049285754,0.26052051803919773,1.3169606636849676,6.0
2022-10-27,0.29430223396669314,1.2666992210371704,0.37547268268981576,1.025845597362295,6.0
2022-10-28,0.11524122692916901,0.9544180542820512,-0.198228368508468,0.5644737203121435,7.0
2022-10-29,-0.1424391522954286,1.0496110794640052,-0.34034477713170913,0.7120117340075546,14.0
2022-10-30,-0.48060002765960874,1.0509172416373833,0.6281289175122764,0.8188698003029378,5.0
2022-10-31,0.2707895199622803,0.6751263624102446,0.3225598499137404,1.0168203708359742,10.0
2022-11-01,0.8002768554170872,1.0,-0.7443236541899907,1.0,1.0
2022-11-02,0.2627580346316859,0.9403083621314381,-0.3378730035597423,0.33596745521209176,14.0
2022-11-03,-0.11243518971238937,0.4746902356219524,0.22194661828891832,1.067092111641385,10.0
2022-11-04,0.14061861209376258,0.8742727308227505,0.5620227517830259,1.3268882220330722,8.0
2022-11-05,-0.23498802506670508,0.8949727264720082,0.03935134229069828,0.9499789707755131,13.0
2022-11-06,1.0058346922922299,0.5350620935152057,0.3733389917752141,2.475801699344048,4.0
2022-11-07,0.20322046723154036,1.3042878774581705,-0.24035388638034105,0.6915853540070053,9.0
2022-11-08,0.26620482335510026,0.5760940794035111,0.09366399590733732,0.6496044571245202,11.0
2022-11-09,-0.025181171294789997,1.04365199018468,-0.04486321509639469,0.6480218951048451,15.0
2022-11-10,0.9609659857771954,1.2032043900886318,-0.06060222580473607,0.46970189602498813,8.0
2022-11-11,0.024220803484196408,1.0327766130253135,-0.20890102727177542,0.35730348633026193,5.0
2022-11-12,-0.31806090067511095,1.0,-0.5188745216627708,1.0,1.0
2022-11-13,0.27249603777346026,1.0,-0.5217863843886722,1.0,1.0
2022-11-14,0.20090632862737587,0.3911309109623842,-0.530138769761288,0.042622656949653635,2.0
2022-11-15,-0.059442111598662466,0.6190438238242361,0.19773863715462123,1.1411050023436418,7.0
2022-11-16,-0.670865489764577,0.5018511007732611,-0.2245081697307083,0.39235683620545764,6.0
2022-11-17,0.03220812401987951,0.7682934519433874,-0.2688563743473342,0.40649947227420186,6.0
2022-11-18,0.6735062506492326,1.2303563545409593,0.3609749066351314,1.5270025909541538,12.0
2022-11-19,-0.8689548570733078,1.169400103751604,-0.5706284073710358,0.21924985481520126,6.0
2022-11-20,-0.05928354193373614,0.10622758233176594,-0.4506305493695343,0.10062954692604727,2.0
2022-11-21,0.023807905426473236,0.7892136665477159,-0.5024369377603186,0.16151336944281988,3.0
