keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Blüte',-0.3621801435697126,1.0,0.27833575232473295,1.0,1.0
'Dürre',-0.4756972802517932,0.7691524662992147,0.08256707023111301,1.0116292211834295,9.0
'Ernte',-0.6425874349785603,0.5532359233715496,-0.16891215080294844,0.7347844899336597,2.0
'Frühling',0.17679987144969558,1.0,-0.7548110784682474,1.0,1.0
'Gewitter',-0.8544921162721947,1.0,-0.5082652868538602,1.0,1.0
'Herbst',-0.03938100105170415,0.95827793579321,0.0009112977682243374,0.9412620296410067,45.0
'Niedrigwasser',-0.6877919402718482,1.0,2.4657479101388167,1.0,1.0
'Schnee',-0.07347505151010501,0.6374883974089592,-0.02291329118937767,0.7930943901619381,13.0
'Sommer',-0.06088903406934779,0.7212405094482878,0.11544144535645622,1.0169225630574137,26.0
'Winter',0.02620451325651675,0.979710793623423,-0.009206412790817674,0.959512599357332,419.0
